Open time,Open,High,Low,Close,Volume
2022-03-14,78.72000000,82.29000000,78.00000000,81.22000000,2079919.39000000
2022-03-15,81.23000000,85.99000000,78.72000000,82.84000000,2123603.37000000
2022-03-16,82.84000000,87.98000000,81.53000000,87.77000000,2638790.33000000
2022-03-17,87.77000000,91.00000000,86.58000000,87.80000000,2616451.80000000
2022-03-18,87.80000000,92.28000000,84.41000000,89.80000000,2935949.01000000
2022-03-19,89.81000000,94.55000000,89.25000000,92.31000000,2058348.96000000
2022-03-20,92.31000000,92.55000000,87.82000000,88.62000000,1500458.29000000
2022-03-21,88.62000000,91.28000000,86.74000000,88.59000000,1985082.57000000
2022-03-22,88.58000000,93.98000000,88.00000000,90.43000000,2611345.56000000
2022-03-23,90.44000000,96.36000000,89.19000000,94.89000000,2854825.20000000
2022-03-24,94.88000000,103.70000000,93.26000000,102.32000000,4777008.51000000
2022-03-25,102.32000000,104.86000000,96.95000000,98.60000000,3360440.57000000
2022-03-26,98.60000000,103.40000000,97.63000000,101.73000000,1906343.44000000
2022-03-27,101.73000000,107.46000000,98.77000000,107.04000000,2351080.64000000
2022-03-28,107.04000000,113.87000000,105.22000000,105.75000000,4146023.22000000
2022-03-29,105.75000000,115.70000000,105.49000000,111.62000000,3727259.92000000
2022-03-30,111.62000000,125.26000000,107.11000000,120.82000000,5250424.16000000
2022-03-31,120.82000000,129.50000000,119.95000000,122.77000000,5143974.90000000
2022-04-01,122.79000000,138.40000000,117.39000000,134.52000000,5505077.63000000
